,Ano,Posicao,Time,PG,J,V,E,D,GP,GC,SG
1,2006,1,SAO PAULO (SP),78,38,22,12,4,66,32,34
2,2006,2,INTERNACIONAL (RS),69,38,20,9,9,52,36,16
3,2006,3,GREMIO (RS),67,38,20,7,11,64,45,19
4,2006,4,SANTOS (SP),64,38,18,10,10,58,36,22
5,2006,5,PARANA (PR),60,38,18,6,14,56,49,7
6,2006,6,VASCO (RJ),59,38,15,14,9,57,50,7
7,2006,7,FIGUEIRENSE (SC),57,38,15,12,11,52,44,8
8,2006,8,GOIAS (GO),55,38,15,10,13,63,49,14
9,2006,9,CORINTHIANS (SP),53,38,15,8,15,41,46,-5
10,2006,10,CRUZEIRO (MG),53,38,14,11,13,52,45,7
11,2006,11,FLAMENGO (RJ),52,38,15,7,16,44,48,-4
12,2006,12,BOTAFOGO (RJ),51,38,13,12,13,52,50,2
13,2006,13,ATLETICO (PR),48,38,14,8,16,61,62,-1
14,2006,14,JUVENTUDE (RS),47,38,13,8,17,44,54,-10
15,2006,15,FLUMINENSE (RJ),45,38,11,12,15,48,58,-10
16,2006,16,PALMEIRAS (SP),44,38,12,8,18,58,70,-12
17,2006,17,PONTE PRETA (SP),39,38,10,9,19,45,65,-20
18,2006,18,FORTALEZA (CE),38,38,8,14,16,39,62,-23
19,2006,19,SAO CAETANO (SP),36,38,9,9,20,37,53,-16
20,2006,20,SANTA CRUZ (PE),28,38,7,7,24,41,76,-35
1,2007,1,SAO PAULO (SP),77,38,23,8,7,55,19,36
2,2007,2,SANTOS (SP),62,38,19,5,14,57,47,10
3,2007,3,FLAMENGO (RJ),61,38,17,10,11,55,49,6
4,2007,4,FLUMINENSE (RJ),61,38,16,13,9,57,39,18
5,2007,5,CRUZEIRO (MG),60,38,18,6,14,73,58,15
6,2007,6,GREMIO (RS),58,38,17,7,14,44,43,1
7,2007,7,PALMEIRAS (SP),58,38,16,10,12,48,47,1
8,2007,8,ATLETICO (MG),55,38,15,10,13,63,51,12
9,2007,9,BOTAFOGO (RJ),55,38,14,13,11,62,58,4
10,2007,10,VASCO (RJ),54,38,15,9,14,58,47,11
11,2007,11,INTERNACIONAL (RS),54,38,15,9,14,49,44,5
12,2007,12,ATLETICO (PR),54,38,14,12,12,51,50,1
13,2007,13,FIGUEIRENSE (SC),53,38,14,11,13,57,56,1
14,2007,14,SPORT (PE),51,38,14,9,15,54,55,-1
15,2007,15,NAUTICO (PE),49,38,14,7,17,66,63,3
16,2007,16,GOIAS (GO),45,38,13,6,19,49,62,-13
17,2007,17,CORINTHIANS (SP),44,38,10,14,14,40,50,-10
18,2007,18,JUVENTUDE (RS),41,38,11,8,19,43,65,-22
19,2007,19,PARANA (PR),41,38,11,8,19,42,64,-22
20,2007,20,AMERICA (RN),17,38,4,5,29,24,80,-56
1,2008,1,SAO PAULO (SP),75,38,21,12,5,66,36,30
2,2008,2,GREMIO (RS),72,38,21,9,8,59,35,24
3,2008,3,CRUZEIRO (MG),67,38,21,4,13,59,44,15
4,2008,4,PALMEIRAS (SP),65,38,19,8,11,55,45,10
5,2008,5,FLAMENGO (RJ),64,38,18,10,10,67,48,19
6,2008,6,INTERNACIONAL (RS),54,38,15,9,14,48,47,1
7,2008,7,BOTAFOGO (RJ),53,38,15,8,15,51,44,7
8,2008,8,GOIAS (GO),53,38,14,11,13,57,47,10
9,2008,9,CORITIBA (PR),53,38,14,11,13,55,48,7
10,2008,10,VITORIA (BA),52,38,15,7,16,48,44,4
11,2008,11,SPORT (PE),52,38,14,10,14,48,45,3
12,2008,12,ATLETICO (MG),48,38,12,12,14,50,61,-11
13,2008,13,ATLETICO (PR),45,38,12,9,17,45,54,-9
14,2008,14,FLUMINENSE (RJ),45,38,11,12,15,49,48,1
15,2008,15,SANTOS (SP),45,38,11,12,15,44,53,-9
16,2008,16,NAUTICO (PE),44,38,11,11,16,44,54,-10
17,2008,17,FIGUEIRENSE (SC),44,38,11,11,16,49,73,-24
18,2008,18,VASCO (RJ),40,38,11,7,20,56,72,-16
19,2008,19,PORTUGUESA (SP),38,38,9,11,18,48,70,-22
20,2008,20,IPATINGA (MG),35,38,9,8,21,37,67,-30
1,2009,1,FLAMENGO (RJ),67,38,19,10,9,58,44,14
2,2009,2,INTERNACIONAL (RS),65,38,19,8,11,65,44,21
3,2009,3,SAO PAULO (SP),65,38,18,11,9,57,42,15
4,2009,4,CRUZEIRO (MG),62,38,18,8,12,58,53,5
5,2009,5,PALMEIRAS (SP),62,38,17,11,10,58,45,13
6,2009,6,AVAI (SC),57,38,15,12,11,61,52,9
7,2009,7,ATLETICO (MG),56,38,16,8,14,55,56,-1
8,2009,8,GREMIO (RS),55,38,15,10,13,67,46,21
9,2009,9,GOIAS (GO),55,38,15,10,13,64,65,-1
10,2009,10,CORINTHIANS (SP),52,38,14,10,14,50,54,-4
11,2009,11,BARUERI (SP),49,38,12,13,13,59,52,7
12,2009,12,SANTOS (SP),49,38,12,13,13,58,58,0
13,2009,13,VITORIA (BA),48,38,13,9,16,51,57,-6
14,2009,14,ATLETICO (PR),48,38,13,9,16,42,49,-7
15,2009,15,BOTAFOGO (RJ),47,38,11,14,13,52,58,-6
16,2009,16,FLUMINENSE (RJ),46,38,11,13,14,49,56,-7
17,2009,17,CORITIBA (PR),45,38,12,9,17,48,60,-12
18,2009,18,SANTO ANDRE (SP),41,38,11,8,19,46,61,-15
19,2009,19,NAUTICO (PE),38,38,10,8,20,48,71,-23
20,2009,20,SPORT (PE),31,38,7,10,21,48,71,-23
1,2010,1,FLUMINENSE (RJ),71,38,20,11,7,62,36,26
2,2010,2,CRUZEIRO (MG),69,38,20,9,9,53,38,15
3,2010,3,CORINTHIANS (SP),68,38,19,11,8,65,41,24
4,2010,4,GREMIO (RS),63,38,17,12,9,67,43,24
5,2010,5,ATLETICO (PR),60,38,17,9,12,43,44,-1
6,2010,6,BOTAFOGO (RJ),59,38,14,17,7,54,42,12
7,2010,7,INTERNACIONAL (RS),58,38,16,10,12,48,41,7
8,2010,8,SANTOS (SP),56,38,15,11,12,63,50,13
9,2010,9,SAO PAULO (SP),55,38,15,10,13,54,54,0
10,2010,10,PALMEIRAS (SP),50,38,12,14,12,42,43,-1
11,2010,11,VASCO (RJ),49,38,11,16,11,43,45,-2
12,2010,12,CEARA (CE),47,38,10,17,11,35,44,-9
13,2010,13,ATLETICO (MG),45,38,13,6,19,52,64,-12
14,2010,14,FLAMENGO (RJ),44,38,9,17,12,41,44,-3
15,2010,15,AVAI (SC),43,38,11,10,17,49,58,-9
16,2010,16,ATLETICO (GO),42,38,11,9,18,51,57,-6
17,2010,17,VITORIA (BA),42,38,9,15,14,42,48,-6
18,2010,18,GUARANI (SP),37,38,8,13,17,33,53,-20
19,2010,19,GOIAS (GO),33,38,8,9,21,41,68,-27
20,2010,20,GREMIO PRUDENTE (SP),28,38,7,10,21,39,64,-25
1,2011,1,CORINTHIANS (SP),71,38,21,8,9,53,36,17
2,2011,2,VASCO (RJ),69,38,19,12,7,57,40,17
3,2011,3,FLUMINENSE (RJ),63,38,20,3,15,60,51,9
4,2011,4,FLAMENGO (RJ),61,38,15,16,7,59,47,12
5,2011,5,INTERNACIONAL (RS),60,38,16,12,10,57,43,14
6,2011,6,SAO PAULO (SP),59,38,16,11,11,57,46,11
7,2011,7,FIGUEIRENSE (SC),58,38,15,13,10,46,45,1
8,2011,8,CORITIBA (PR),57,38,16,9,13,57,41,16
9,2011,9,BOTAFOGO (RJ),56,38,16,8,14,52,49,3
10,2011,10,SANTOS (SP),53,38,15,8,15,55,55,0
11,2011,11,PALMEIRAS (SP),50,38,11,17,10,43,39,4
12,2011,12,GREMIO (RS),48,38,13,9,16,49,57,-8
13,2011,13,ATLETICO (GO),48,38,12,12,14,50,45,5
14,2011,14,BAHIA (BA),46,38,11,13,14,43,49,-6
15,2011,15,ATLETICO (MG),45,38,13,6,19,50,60,-10
16,2011,16,CRUZEIRO (MG),43,38,11,10,17,48,51,-3
17,2011,17,ATLETICO (PR),41,38,10,11,17,38,55,-17
18,2011,18,CEARA (CE),39,38,10,9,19,47,64,-17
19,2011,19,AMERICA (MG),37,38,8,13,17,51,69,-18
20,2011,20,AVAI (SC),31,38,7,10,21,45,75,-30
1,2012,1,FLUMINENSE (RJ),77,38,22,11,5,61,33,28
2,2012,2,ATLETICO (MG),72,38,20,12,6,64,37,27
3,2012,3,GREMIO (RS),71,38,20,11,7,56,33,23
4,2012,4,SAO PAULO (SP),66,38,20,6,12,59,37,22
5,2012,5,VASCO (RJ),58,38,16,10,12,45,44,1
6,2012,6,CORINTHIANS (SP),57,38,15,12,11,51,39,12
7,2012,7,BOTAFOGO (RJ),55,38,15,10,13,60,50,10
8,2012,8,SANTOS (SP),53,38,13,14,11,50,44,6
9,2012,9,CRUZEIRO (MG),52,38,15,7,16,47,51,-4
10,2012,10,INTERNACIONAL (RS),52,38,13,13,12,44,40,4
11,2012,11,FLAMENGO (RJ),50,38,12,14,12,39,46,-7
12,2012,12,NAUTICO (PE),49,38,14,7,17,44,51,-7
13,2012,13,CORITIBA (PR),48,38,14,6,18,53,60,-7
14,2012,14,PONTE PRETA (SP),48,38,12,12,14,37,44,-7
15,2012,15,BAHIA (BA),47,38,11,14,13,37,41,-4
16,2012,16,PORTUGUESA (SP),45,38,10,15,13,39,41,-2
17,2012,17,SPORT (PE),41,38,10,11,17,39,56,-17
18,2012,18,PALMEIRAS (SP),34,38,9,7,22,39,54,-15
19,2012,19,ATLETICO (GO),30,38,7,9,22,37,67,-30
20,2012,20,FIGUEIRENSE (SC),30,38,7,9,22,39,72,-33
1,2013,1,CRUZEIRO (MG),76,38,23,7,8,77,37,40
2,2013,2,GREMIO (RS),65,38,18,11,9,42,35,7
3,2013,3,ATHLETICO (PR),64,38,18,10,10,65,49,16
4,2013,4,BOTAFOGO (RJ),61,38,17,10,11,55,41,14
5,2013,5,VITORIA (BA),59,38,16,11,11,59,53,6
6,2013,6,GOIAS (GO),59,38,16,11,11,48,44,4
7,2013,7,SANTOS (SP),57,38,15,12,11,51,38,13
8,2013,8,ATLETICO (MG),57,38,15,12,11,49,38,11
9,2013,9,SAO PAULO (SP),50,38,14,8,16,39,40,-1
10,2013,10,CORINTHIANS (SP),50,38,11,17,10,27,22,5
11,2013,11,CORITIBA (PR),48,38,12,12,14,42,45,-3
12,2013,12,BAHIA (BA),48,38,12,12,14,37,45,-8
13,2013,13,INTERNACIONAL (RS),48,38,11,15,12,51,52,-1
14,2013,14,CRICIUMA (SC),46,38,13,7,18,49,63,-14
15,2013,15,FLUMINENSE (RJ),46,38,12,10,16,43,47,-4
16,2013,16,FLAMENGO (RJ),45,38,12,13,13,43,46,-3
17,2013,17,PORTUGUESA (SP),44,38,12,12,14,50,46,4
18,2013,18,VASCO (RJ),44,38,11,11,16,50,61,-11
19,2013,19,PONTE PRETA (SP),37,38,9,10,19,37,55,-18
20,2013,20,NAUTICO (PE),20,38,5,5,28,22,79,-57
1,2014,1,CRUZEIRO (MG),80,38,24,8,6,67,38,29
2,2014,2,SAO PAULO (SP),70,38,20,10,8,59,40,19
3,2014,3,INTERNACIONAL (RS),69,38,21,6,11,53,41,12
4,2014,4,CORINTHIANS (SP),69,38,19,12,7,49,31,18
5,2014,5,ATLETICO (MG),62,38,17,11,10,51,38,13
6,2014,6,FLUMINENSE (RJ),61,38,17,10,11,59,40,19
7,2014,7,GREMIO (RS),61,38,17,10,11,36,24,12
8,2014,8,ATHLETICO (PR),54,38,15,9,14,43,42,1
9,2014,9,SANTOS (SP),53,38,15,8,15,42,35,7
10,2014,10,FLAMENGO (RJ),52,38,14,10,14,46,47,-1
11,2014,11,SPORT (PE),52,38,14,10,14,36,46,-10
12,2014,12,GOIAS (GO),47,38,13,8,17,38,40,-2
13,2014,13,FIGUEIRENSE (SC),47,38,13,8,17,37,47,-10
14,2014,14,CORITIBA (PR),47,38,12,11,15,42,45,-3
15,2014,15,CHAPECOENSE (SC),43,38,11,10,17,39,44,-5
16,2014,16,PALMEIRAS (SP),40,38,11,7,20,34,59,-25
17,2014,17,VITORIA (BA),39,38,10,9,19,38,54,-16
18,2014,18,BAHIA (BA),37,38,9,10,19,31,43,-12
19,2014,19,BOTAFOGO (RJ),34,38,9,7,22,31,48,-17
20,2014,20,CRICIUMA (SC),32,38,7,9,20,28,56,-28
1,2015,1,CORINTHIANS (SP),81,38,24,9,5,71,31,40
2,2015,2,ATLETICO (MG),69,38,21,6,11,65,47,18
3,2015,3,GREMIO (RS),68,38,20,8,10,52,32,20
4,2015,4,SAO PAULO (SP),62,38,18,8,12,53,47,6
5,2015,5,INTERNACIONAL (RS),60,38,17,9,12,39,38,1
6,2015,6,SPORT (PE),59,38,15,14,9,53,38,15
7,2015,7,SANTOS (SP),58,38,16,10,12,59,41,18
8,2015,8,CRUZEIRO (MG),55,38,15,10,13,44,35,9
9,2015,9,PALMEIRAS (SP),53,38,15,8,15,60,51,9
10,2015,10,ATHLETICO (PR),51,38,14,9,15,43,48,-5
11,2015,11,PONTE PRETA (SP),51,38,13,12,13,41,40,1
12,2015,12,FLAMENGO (RJ),49,38,15,4,19,45,53,-8
13,2015,13,FLUMINENSE (RJ),47,38,14,5,19,40,49,-9
14,2015,14,CHAPECOENSE (SC),47,38,12,11,15,34,44,-10
15,2015,15,CORITIBA (PR),44,38,11,11,16,31,42,-11
16,2015,16,FIGUEIRENSE (SC),43,38,11,10,17,36,50,-14
17,2015,17,AVAI (SC),42,38,11,9,18,38,60,-22
18,2015,18,VASCO (RJ),41,38,10,11,17,28,54,-26
19,2015,19,GOIAS (GO),38,38,10,8,20,38,48,-10
20,2015,20,JOINVILLE (SC),31,38,7,10,21,26,48,-22
1,2016,1,PALMEIRAS (SP),80,38,24,8,6,62,32,30
2,2016,2,SANTOS (SP),71,38,22,5,11,59,34,24
3,2016,3,FLAMENGO (RJ),71,38,20,11,7,52,35,17
4,2016,4,ATLETICO (MG),62,38,17,11,10,61,53,8
5,2016,5,BOTAFOGO (RJ),59,38,17,8,13,43,39,4
6,2016,6,ATHLETICO (PR),57,38,17,6,15,38,32,6
7,2016,7,CORINTHIANS (SP),55,38,15,10,13,48,42,6
8,2016,8,PONTE PRETA (SP),53,38,15,8,15,48,52,-4
9,2016,9,GREMIO (RS),53,38,14,11,13,41,44,-3
10,2016,10,SAO PAULO (SP),52,38,14,10,14,44,36,8
11,2016,11,CHAPECOENSE (SC),52,38,13,13,12,49,56,-7
12,2016,12,CRUZEIRO (MG),51,38,14,9,15,48,49,-1
13,2016,13,FLUMINENSE (RJ),50,38,13,11,14,45,45,0
14,2016,14,SPORT (PE),47,38,13,8,17,49,55,-6
15,2016,15,CORITIBA (PR),46,38,11,13,14,41,42,-1
16,2016,16,VITORIA (BA),45,38,12,9,17,51,53,-2
17,2016,17,INTERNACIONAL (RS),43,38,11,10,17,35,41,-6
18,2016,18,FIGUEIRENSE (SC),37,38,8,13,17,30,50,-20
19,2016,19,SANTA CRUZ (PE),31,38,8,7,23,45,69,-24
20,2016,20,AMERICA (MG),28,38,7,7,24,23,58,-35
1,2017,1,CORINTHIANS (SP),72,38,21,9,8,50,30,20
2,2017,2,PALMEIRAS (SP),63,38,19,6,13,61,45,16
3,2017,3,SANTOS (SP),63,38,17,12,9,42,32,10
4,2017,4,GREMIO (RS),62,38,18,8,12,55,36,19
5,2017,5,CRUZEIRO (MG),57,38,15,12,11,47,39,8
6,2017,6,FLAMENGO (RJ),56,38,15,11,12,49,38,11
7,2017,7,VASCO (RJ),56,38,15,11,12,40,47,-7
8,2017,8,CHAPECOENSE (SC),54,38,15,9,14,47,49,-2
9,2017,9,ATLETICO (MG),54,38,14,12,12,52,49,3
10,2017,10,BOTAFOGO (RJ),53,38,14,11,13,45,42,3
11,2017,11,ATHLETICO (PR),51,38,14,9,15,45,43,2
12,2017,12,BAHIA (BA),50,38,13,11,14,50,48,2
13,2017,13,SAO PAULO (SP),50,38,13,11,14,48,49,-1
14,2017,14,FLUMINENSE (RJ),47,38,11,14,13,50,53,-3
15,2017,15,SPORT (PE),45,38,12,9,17,46,58,-12
16,2017,16,VITORIA (BA),43,38,11,10,17,50,58,-8
17,2017,17,CORITIBA (PR),43,38,11,10,17,42,51,-9
18,2017,18,AVAI (SC),43,38,10,13,15,29,48,-19
19,2017,19,PONTE PRETA (SP),39,38,10,9,19,37,52,-15
20,2017,20,ATLETICO (GO),36,38,9,9,20,38,56,-18
1,2018,1,PALMEIRAS (SP),80,38,23,11,4,64,26,38
2,2018,2,FLAMENGO (RJ),72,38,21,9,8,59,29,30
3,2018,3,INTERNACIONAL (RS),69,38,19,12,7,51,29,22
4,2018,4,GREMIO (RS),66,38,18,12,8,48,27,21
5,2018,5,SAO PAULO (SP),63,38,16,15,7,46,34,12
6,2018,6,ATLETICO (MG),59,38,17,8,13,56,43,13
7,2018,7,ATHLETICO (PR),57,38,16,9,13,54,37,17
8,2018,8,CRUZEIRO (MG),53,38,14,11,13,34,34,0
9,2018,9,BOTAFOGO (RJ),51,38,13,12,13,38,46,-8
10,2018,10,SANTOS (SP),50,38,13,11,14,46,40,6
11,2018,11,BAHIA (BA),48,38,12,12,14,39,41,-2
12,2018,12,FLUMINENSE (RJ),45,38,12,9,17,32,46,-14
13,2018,13,CORINTHIANS (SP),44,38,11,11,16,34,35,-1
14,2018,14,CHAPECOENSE (SC),44,38,11,11,16,34,50,-16
15,2018,15,CEARA (CE),44,38,10,14,14,32,38,-6
16,2018,16,VASCO (RJ),43,38,10,13,15,41,48,-7
17,2018,17,AMERICA (MG),40,38,10,10,18,30,47,-17
18,2018,18,SPORT (PE),39,38,11,9,18,35,57,-22
19,2018,19,VITORIA (BA),37,38,9,10,19,36,63,-27
20,2018,20,PARANA (PR),23,38,4,11,23,18,57,-39
1,2019,1,FLAMENGO (RJ),90,38,28,6,4,86,37,49
2,2019,2,SANTOS (SP),74,38,22,8,8,60,33,27
3,2019,3,PALMEIRAS (SP),74,38,21,11,6,61,32,29
4,2019,4,GREMIO (RS),65,38,19,8,11,64,39,25
5,2019,5,ATHLETICO (PR),64,38,18,10,10,51,32,19
6,2019,6,SAO PAULO (SP),63,38,17,12,9,39,30,9
7,2019,7,INTERNACIONAL (RS),57,38,16,9,13,44,39,5
8,2019,8,CORINTHIANS (SP),56,38,14,14,10,42,34,8
9,2019,9,FORTALEZA (CE),53,38,15,8,15,50,49,1
10,2019,10,GOIAS (GO),52,38,15,7,16,46,64,-18
11,2019,11,BAHIA (BA),49,38,12,13,13,44,43,1
12,2019,12,VASCO (RJ),49,38,12,13,13,39,45,-6
13,2019,13,ATLETICO (MG),48,38,13,9,16,45,49,-4
14,2019,14,FLUMINENSE (RJ),46,38,12,10,16,38,46,-8
15,2019,15,BOTAFOGO (RJ),43,38,13,4,21,31,45,-14
16,2019,16,CEARA (CE),39,38,10,9,19,36,41,-5
17,2019,17,CRUZEIRO (MG),36,38,7,15,16,27,46,-19
18,2019,18,CSA (AL),32,38,8,8,22,24,58,-34
19,2019,19,CHAPECOENSE (SC),32,38,7,11,20,31,52,-21
20,2019,20,AVAI (SC),20,38,3,11,24,18,62,-44
1,2020,1,FLAMENGO (RJ),71,38,21,8,9,68,48,20
2,2020,2,INTERNACIONAL (RS),70,38,20,10,8,61,35,26
3,2020,3,ATLETICO (MG),68,38,20,8,10,64,45,19
4,2020,4,SAO PAULO (SP),66,38,18,12,8,59,40,19
5,2020,5,FLUMINENSE (RJ),64,38,18,10,10,55,42,13
6,2020,6,GREMIO (RS),59,38,14,17,7,53,40,13
7,2020,7,PALMEIRAS (SP),58,38,15,13,10,51,37,14
8,2020,8,SANTOS (SP),54,38,14,12,12,52,51,1
9,2020,9,ATHLETICO (PR),53,38,15,8,15,38,36,2
10,2020,10,BRAGANTINO (SP),53,38,13,14,11,50,40,10
11,2020,11,CEARA (CE),52,38,14,10,14,54,51,3
12,2020,12,CORINTHIANS (SP),51,38,13,12,13,45,45,0
13,2020,13,ATLETICO (GO),50,38,12,14,12,40,45,-5
14,2020,14,BAHIA (BA),44,38,12,8,18,48,59,-11
15,2020,15,SPORT (PE),42,38,12,6,20,31,50,-19
16,2020,16,FORTALEZA (CE),41,38,10,11,17,34,44,-10
17,2020,17,VASCO (RJ),41,38,10,11,17,37,56,-19
18,2020,18,GOIAS (GO),37,38,9,10,19,41,63,-22
19,2020,19,CORITIBA (PR),31,38,7,10,21,31,54,-23
20,2020,20,BOTAFOGO (RJ),27,38,5,12,21,32,62,-30
1,2021,1,ATLETICO (MG),84,38,26,6,6,67,34,33
2,2021,2,FLAMENGO (RJ),71,38,21,8,9,69,36,33
3,2021,3,PALMEIRAS (SP),66,38,20,6,12,58,43,15
4,2021,4,FORTALEZA (CE),58,38,17,7,14,44,45,-1
5,2021,5,CORINTHIANS (SP),57,38,15,12,11,40,36,4
6,2021,6,RB BRAGANTINO (SP),56,38,14,14,10,55,46,9
7,2021,7,FLUMINENSE (RJ),54,38,15,9,14,38,38,0
8,2021,8,AMERICA (MG),53,38,13,14,11,41,37,4
9,2021,9,ATLETICO (GO),53,38,13,14,11,33,36,-3
10,2021,10,SANTOS (SP),50,38,12,14,12,35,40,-5
11,2021,11,CEARA (CE),50,38,11,17,10,39,38,1
12,2021,12,INTERNACIONAL (RS),48,38,12,12,14,44,42,2
13,2021,13,SAO PAULO (SP),48,38,11,15,12,31,39,-8
14,2021,14,ATHLETICO (PR),47,38,13,8,17,41,45,-4
15,2021,15,CUIABA (MT),47,38,10,17,11,34,37,-3
16,2021,16,JUVENTUDE (RS),46,38,11,13,14,36,44,-8
17,2021,17,GREMIO (RS),43,38,12,7,19,44,51,-7
18,2021,18,BAHIA (BA),43,38,11,10,17,42,51,-9
19,2021,19,SPORT (PE),38,38,9,11,18,24,37,-13
20,2021,20,CHAPECOENSE (SC),15,38,1,12,25,27,67,-40
